Date,Close,Volume,Open,High,Low
02/18/2021,$10.1725,95962240,$12.1225,$12.2175,$10.1625
02/17/2021,$11.485,37043180,$12.4425,$12.7975,$11.14
02/16/2021,$12.3775,32700120,$13.165,$13.375,$12.26
02/12/2021,$13.1,58293040,$12.6875,$13.81,$12.0125
02/11/2021,$12.775,52226920,$12.5025,$13.83,$12.055
02/10/2021,$12.8,145820160,$12.6925,$15.7075,$11.6375
02/09/2021,$12.5775,107372320,$14.1525,$14.25,$11.63
02/08/2021,$15,102749120,$18.1025,$18.165,$14.505
02/05/2021,$15.9425,325380040,$13.51,$23.75,$12.7725
02/04/2021,$13.375,249709120,$22.7975,$22.875,$13.3325
02/03/2021,$23.1025,170794040,$28.0025,$28.35,$21.3125
02/02/2021,$22.5,312732280,$35.19,$39.5,$18.555
02/01/2021,$56.25,149528600,$79.14,$80.5,$53
01/29/2021,$81.25,202264240,$94.9275,$103.495,$62.5
01/28/2021,$48.4,235263240,$66.25,$120.75,$28.0625
01/27/2021,$86.8775,373586680,$88.7075,$95,$62.25
01/26/2021,$36.995,714352000,$22.14,$37.5,$20.05
01/25/2021,$19.1975,711496000,$24.1825,$39.795,$15.2825
01/22/2021,$16.2525,788631600,$10.6475,$19.1893,$10.58
01/21/2021,$10.7575,228319000,$9.8075,$11.1875,$9.25
01/20/2021,$9.78,133887160,$9.3425,$10.2975,$9.015
01/19/2021,$9.84,298887680,$10.3875,$11.38,$9.16
01/15/2021,$8.875,187465440,$9.6225,$10.1875,$8.5025
01/14/2021,$9.9775,374869640,$9.5225,$10.765,$8.2625
01/13/2021,$7.85,578006800,$5.105,$9.6625,$5.0075
01/12/2021,$4.9875,28242660,$4.99,$5.1,$4.8292
01/11/2021,$4.985,59710440,$4.8525,$5.1625,$4.7525
01/08/2021,$4.4225,25927840,$4.545,$4.575,$4.27
